stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,text_3.started,text_3.stopped,cue_tap_imagine.started,cross_imagine.started,text.started,cue_tap_imagine.stopped,cross_imagine.stopped,text.stopped,text_4.started,text_4.stopped,cue_imagine.started,cross_imagine_2.started,text_2.started,cross_imagine_2.stopped,text_2.stopped,Instruction_next_trial.started,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,cross_listen.stopped,cue_imagine.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp1/snare_iso.wav,1,0,1,0,0,0,0,2,1,0,1,0,,,,,,,,,,354.9539661986639,354.9537427219984,359.73711526066495,359.753645806999,,,,,,,,,,,,,,,,,,,369.75788762400043,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,1,0,1,0,0,0,0,2,2,0,2,0,,,,,,,,,,369.75348533766396,369.75788762400043,374.54185554666424,374.553668747998,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,1,0,1,0,0,0,0,2,3,0,3,0,,,,,,,,,,384.5586832526644,384.5538247939985,389.35296423066416,,,,,,,,,,,,,,,,,,,,399.35265009499926,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,399.35265009499926,400.3528636939991,400.3525860896664,400.3528636939991,400.3528636939991,405.1526705119977,415.15228018500056,415.15228018500056,415.15228018500056,416.15228833199944,416.1546080426672,416.15228833199944,416.15228833199944,430.9520978239998,430.9520978239998,430.9520978239998,433.95197953599927,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,1,0,1,0,0,1,1,0,0,0,0,0,,,,,,,,,433.95197953599927,435.95188172966687,435.95705990499846,440.75197498966395,440.7516467679998,,,,,,,,,,,,,,,,,,435.95705990499846,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,1,0,1,0,0,1,1,0,1,0,1,0,,,,,,,,,,450.76921134866666,450.7681486649999,455.5571800266664,,,,,,,,,,,,,,,,,,,,465.5725039259996,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,1,0,1,0,0,1,1,0,2,0,2,0,,,,,,,,,,465.567764976666,465.5725039259996,470.35083701166536,470.36766733200056,,,,,,,,,,,,,,,,,,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,1,0,1,0,0,1,1,0,3,0,3,0,,,,,,,,,,480.37356656466386,480.36795944799815,485.1672556466658,,,,,,,,,,,,,,,,,,,,495.16705328699754,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,495.16705328699754,496.1669943249981,496.1669668116667,496.1669943249981,496.1669943249981,500.97317181299877,510.9667198919997,510.9667198919997,510.9667198919997,511.9665669669994,511.9666148696672,511.9665669669994,511.9665669669994,526.7662367079975,526.7662367079975,526.7662367079975,529.7662215259988,,,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,1,0,1,0,0,2,2,1,0,0,0,0,,,,,,,,,529.7662215259988,531.7660948626656,531.7662405599986,536.5543490306666,536.567134607998,,,,,,,,,,,,,,,,,,531.7662405599986,546.5657074349983,,amy,002,2023-03-17_13h22.36.601,untitled,2022.2.5,None,
