stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,Introduction.stopped,listen_instr.started,key_continue.started,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,cross_listen.stopped,Tap_Imagine_instruction_2.started,Tap_Imagine_instruction_2.stopped,cue_tap_imagine.started,cross_imagine.started,cue_tap_imagine.stopped,cross_imagine.stopped,Imagine_instruction_2.started,cue_imagine.started,cross_imagine_2.started,Instruction_next_trial.started,cue_imagine.stopped,Imagine_instruction_2.stopped,cross_imagine_2.stopped,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp1/snare_mp1.wav,1,0,1,0,0,0,0,0,3,0,3,0,,,,,,,,,,443.35746630167364,443.35209730000497,448.1521897546738,,458.15173196800606,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp1.wav,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,458.15173196800606,466.15728990400385,466.15167004367345,466.15728990400385,470.9577394980006,,480.9680442280005,488.96784083667103,488.96783726300055,503.7736901390017,493.77222338700085,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,0,0,0,0,,,,,,,,,507.76873811800033,511.76726204967076,511.7674716870024,516.5504608596714,516.5729958530064,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,1,0,1,0,,,,,,,,,,526.5668560936722,526.5725316440003,531.3521760556725,531.366719935002,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,2,0,2,0,,,,,,,,,,541.3831750876673,541.3834628190016,546.1664170866682,,556.1827641440032,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,3,0,3,0,,,,,,,,,,556.1825825416711,556.1827641440032,560.9660561836683,560.9828421790007,570.9882028830034,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,570.9882028830034,,578.99887739067,579.000870008007,583.8034225770025,,593.8040465280064,601.8042500316699,601.7981746930018,616.5989952450036,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,1,0,1,0,0,2,2,2,0,0,0,0,,,,,,,,,620.5976633240061,624.59768291967,624.5994140930052,629.3825214766732,629.3976330060032,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,1,0,1,0,0,2,2,2,1,0,1,0,,,,,,,,,,639.3972734486708,639.3973033540024,644.1866646616729,644.1972643820045,654.1969658980015,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,1,0,1,0,0,2,2,2,2,0,2,0,,,,,,,,,,654.1968281246702,654.1969658980015,658.9801395086727,658.9966855110033,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,1,0,1,0,0,2,2,2,3,0,3,0,,,,,,,,,,669.0016508236697,668.9965333930013,673.7964482916689,,683.7970346250004,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,683.7970346250004,,691.8158688266669,691.8125540340043,,,706.5955037740059,714.5954096136668,714.5955594690022,729.4007773750054,,714.5955594690022,729.4007773750054,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,0,0,0,0,,,,,,,,,733.4139554550056,737.3977055136677,737.3948527220055,742.2004369776735,742.1945948050052,752.1962520460002,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,1,0,1,0,,,,,,,,,,752.1944766386698,752.1962520460002,756.9777762966735,756.9943865770038,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,2,0,2,0,,,,,,,,,,767.0108629996723,767.0172297150057,771.7939979086698,771.8111492120006,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,3,0,3,0,,,,,,,,,,781.8270373736707,781.8331003990024,786.6103130956728,786.6271137240037,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_iso.wav,2,0,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,,796.6267075550059,804.6264950590048,804.6273790776725,804.6264950590048,,819.4264251590066,819.4264251590066,827.4260227736706,827.4321585700018,842.2421657310042,,827.4321585700018,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,0,0,0,0,,,,,,,,,846.2484587470026,850.2471840946712,850.2419239110022,855.0252685316702,,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,1,0,1,0,,,,,,,,,,865.0416157036709,865.043516071004,869.8282030726734,869.8415657880032,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,2,0,2,0,,,,,,,,,,879.8579489836668,879.8630545350024,884.6411925796676,884.6578403930034,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
audio/exp1/snare_mp2.wav,2,0,2,0,0,1,1,1,3,0,3,0,,,,,,,,,,894.6742793786727,894.6789744540001,899.4603882106715,899.4742743770039,,,,,,,,,,,,,,,,,sash,001,2023-03-10_14h05.41.985,untitled,2022.2.5,None,
