stimuli_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,cue.started,cross_listen.started,beat1.started,cue.stopped,beat1.stopped,Instruction_next_trial.started,Instruction_next_trial.stopped,cross_listen.stopped,Ending.started,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp0/kick_mp2.wav,3,0,3,0,0,0,0,1,,,,,,,,329.4979260696675,329.49802783999985,333.48562651066663,333.49803356600023,,341.4978242640009,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,3,0,3,0,0,1,1,0,,,,,,,,342.49766587566614,342.4978352300004,346.4862807736665,346.4978898650006,,354.49745647599957,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,3,0,3,0,0,2,2,5,,,,,,,,355.4972992266669,355.4973864620006,359.48068725966755,359.49733707000087,367.4850185439991,367.4969311829991,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,3,0,3,0,0,3,3,2,,,,,,,,368.50173480966646,368.4969916680002,372.48032062566585,372.49696517899974,380.48013720900053,380.5004816700002,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,3,0,3,0,0,4,4,3,,,,,,,,381.4967727616661,381.5004357630005,385.4799014606672,385.49658005700076,393.4796526379996,393.49644859699947,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,3,0,3,0,0,5,5,4,,,,,,,,394.4971754336659,394.4963412750003,398.4795658176665,398.50123593600074,406.47953278599925,406.50073398399945,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,4,0,4,0,0,0,0,3,,,,,,,,407.4961487886669,407.50331997099966,411.4838662596669,411.4960671410008,,419.49565730500035,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,4,0,4,0,0,1,1,4,,,,,,,,420.4979749376673,420.495631365,424.4790492976665,,,432.500315583,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,4,0,4,0,0,2,2,0,,,,,,,,433.50023919566615,433.4952723810002,437.4786654426664,437.49523678399964,,445.4952021959998,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,4,0,4,0,0,3,3,5,,,,,,,,446.4950781526661,446.4953137430002,450.4834549986665,450.49529187199914,,458.4948086379991,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,4,0,4,0,0,4,4,1,,,,,,,,459.4948700456664,459.4946825480001,463.4780398266669,463.4945745389996,,471.49448714900063,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,4,0,4,0,0,5,5,2,,,,,,,,472.4945358986663,472.4969204280005,476.47759691466695,476.49426139000025,484.47747485999935,484.4968858249995,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,5,0,5,0,0,0,0,4,,,,,,,,485.499753080667,485.4989403309992,489.4830606616672,,,497.49378747599985,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,5,0,5,0,0,1,1,3,,,,,,,,498.49373927666625,498.49381021500085,502.47727693466754,502.4969961989991,510.4768937839999,510.49957442199957,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,5,0,5,0,0,2,2,1,,,,,,,,511.4933682246667,511.4935682439991,515.4819677476664,515.4935260149996,,523.4969302270001,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,5,0,5,0,0,3,3,5,,,,,,,,524.4990401126672,524.4930343609994,528.4764855586675,528.4929764650005,536.4763341310008,536.4927955839994,537.4971132650007,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,5,0,5,0,0,4,4,0,,,,,,,,537.4929325176674,537.4971132650007,541.4760946456665,541.4926989129999,549.4758181010002,549.5091178309995,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,5,0,5,0,0,5,5,2,,,,,,,,550.4958445516661,550.4924261889992,554.4757621296669,554.4922569120008,562.4754705849991,562.4922702870008,563.4938855389992,562.4922702870008,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
,5,0,5,0,,,,,,,,,,,,,,,,,,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,6,0,6,0,0,0,0,1,,,,,,,,563.4923284426661,563.4938855389992,567.4755598936665,567.4920373050008,575.4752132619997,575.5085125339992,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,6,0,6,0,0,1,1,4,,,,,,,,576.4980741636666,576.491937494,580.4773506586664,,,588.4978254359994,,588.4978254359994,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,6,0,6,0,0,2,2,3,,,,,,,,589.5081714776663,589.5102336950004,593.4917944406664,593.5101965739996,601.4940406810001,601.5078290549991,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,6,0,6,0,0,3,3,5,,,,,,,,602.5080068586669,602.511578013,606.4909895446674,606.513361579,614.4909155980004,614.5128150830005,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,6,0,6,0,0,4,4,2,,,,,,,,615.4960736516662,615.4908168639995,619.4778999906669,,,627.4904842550004,628.4915666380002,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,6,0,6,0,0,5,5,0,,,,,,,,628.4906998966674,628.4915666380002,632.4904488646664,632.4912311509997,640.4924458040005,640.5068078980003,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
,6,0,6,0,,,,,,,,,,,,,,,,,,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,7,0,7,0,0,0,0,4,,,,,,,,641.496449477667,641.4954437439992,645.4901379326659,,,653.5066186389995,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,7,0,7,0,0,1,1,5,,,,,,,,654.5066737836662,654.5064062799993,658.478838037667,658.5065815449998,,666.5061537439997,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,7,0,7,0,0,2,2,1,,,,,,,,667.4955751966666,667.4895604190006,671.4780696066666,,,679.4892720610005,680.4944908180005,679.4892720610005,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,7,0,7,0,0,3,3,0,,,,,,,,680.4893132906675,680.4944908180005,684.4891056936669,684.4892233379996,,692.511523481,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,7,0,7,0,0,4,4,3,,,,,,,,693.5071334336665,693.5057475640006,697.4887536956669,,705.4886999320006,705.5084220019999,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,7,0,7,0,0,5,5,2,,,,,,,,706.5052064436661,706.5053273850008,710.488625883667,710.5052171299994,718.4883902660004,718.5058515119999,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
,7,0,7,0,,,,,,,,,,,,,,,,,,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,8,0,8,0,0,0,0,5,,,,,,,,719.5048371736668,719.5048459070003,723.4914867396658,723.5049162030009,,731.5046553430002,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,8,0,8,0,0,1,1,4,,,,,,,,732.504700988666,732.5055417050007,736.4877320936669,736.5098336709998,744.4935479270007,744.5041976089997,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,8,0,8,0,0,2,2,0,,,,,,,,745.5042535046671,745.5060334080008,749.4874597296659,749.5098246550006,757.4931582209992,757.5038623580003,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,8,0,8,0,0,3,3,1,,,,,,,,758.4936894766672,758.4877626800007,762.4873138896658,,770.4898441740006,770.4898441740006,,770.4898441740006,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,8,0,8,0,0,4,4,2,,,,,,,,771.503667197667,771.5093125259991,775.4868850586665,,783.4876129519998,783.503370724,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,8,0,8,0,0,5,5,3,,,,,,,,784.5033880706671,784.5034784809995,788.486556105667,,796.4885555429992,796.5030402150005,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
,8,0,8,0,,,,,,,,,,,,,,,,,,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,9,0,9,0,0,0,0,1,,,,,,,,797.5030668416659,797.5091314950005,801.4924222126667,801.502883612,,809.502734398,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,9,0,9,0,0,1,1,0,,,,,,,,810.5027408806675,810.5026092530006,814.4857386756669,814.5091404510003,,822.5023899949992,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,9,0,9,0,0,2,2,5,,,,,,,,823.5023107386662,823.5070993080008,827.4854571686667,827.5032412010005,,835.5020331510004,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,9,0,9,0,0,3,3,4,,,,,,,,836.5021934076669,836.5019088139998,840.4850827806661,840.504582779,848.4908344199994,848.5016213409999,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,9,0,9,0,0,4,4,3,,,,,,,,849.5016390146668,849.5016908790003,853.4849059266674,853.5015004060006,861.484579037,861.5014518049993,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,9,0,9,0,0,5,5,2,,,,,,,,862.501368915666,862.50546201,866.4846537126671,866.5012180030008,874.4845624110003,874.500990429,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
,9,0,9,0,,,,,,,,,,,,,,,,,,,,,andres,001,2023-03-01_14h54.22.320,untitled,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,875.5011117159993,,,,,,,
