stimuli_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,cue.started,cross_listen.started,beat1.started,cue.stopped,Instruction_next_trial.started,beat1.stopped,Instruction_next_trial.stopped,cross_listen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
audio/exp0/snare_mp2.wav,3,0,3,0,0,1,1,4,,,,,,,,295.73524985766676,295.7352217030002,299.71833124466707,299.7406731199999,307.73486500000035,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,3,0,3,0,0,2,2,3,,,,,,,,308.7348459226671,308.7349145320004,312.71799216266686,312.7353583089998,320.734596708,320.7179125520006,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,3,0,3,0,0,3,3,0,,,,,,,,321.73446666066707,321.7391479530006,325.71957359866724,325.73440456000026,333.73418712700004,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,3,0,3,0,0,4,4,1,,,,,,,,334.73411023466656,334.7341302550003,338.7173712056667,338.734095025,346.7338580080004,346.71715311800017,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,3,0,3,0,0,5,5,2,,,,,,,,347.7338275436671,347.7338398339998,351.71711276466726,351.7334944109998,359.7334665650005,359.7168568420002,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,4,0,4,0,0,0,0,5,,,,,,,,360.7335197616669,360.73969542099985,364.7167315206664,364.73345111599974,372.7331686110001,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,4,0,4,0,0,1,1,4,,,,,,,,373.733158979667,373.73321129800024,377.7164514146664,377.7331395219999,385.73289781400035,385.71628593900004,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,4,0,4,0,0,2,2,3,,,,,,,,386.73286607066643,386.73280327500015,390.7160868016665,390.734422644,398.7342783710001,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,4,0,4,0,0,3,3,2,,,,,,,,399.7387499086665,399.73483669100005,403.71573379666665,,411.73224546599977,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,4,0,4,0,0,4,4,1,,,,,,,,412.73707104366645,412.73412195699984,416.71744777366644,,424.7336466430006,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,4,0,4,0,0,5,5,0,,,,,,,,425.7318918146668,425.73367084500023,429.71885638866684,429.73181397200005,437.73546352300036,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp1.wav,5,0,5,0,0,0,0,0,,,,,,,,438.74903500733353,438.7401928770005,442.7147342106666,442.7511998360005,450.73120835400005,450.71842069300055,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_iso.wav,5,0,5,0,0,1,1,5,,,,,,,,451.73463762766664,451.73170917800053,455.7143949406666,,463.73093664000044,463.714281005,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,5,0,5,0,0,2,2,1,,,,,,,,464.7309588306664,464.7309572860004,468.714158396667,468.73070311100037,476.73062389999996,476.71392826600004,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp2.wav,5,0,5,0,0,3,3,4,,,,,,,,477.73060172566716,477.7305563310001,481.71695286266663,481.7304953359999,489.7302864250005,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/snare_mp1.wav,5,0,5,0,0,4,4,3,,,,,,,,490.73024194066716,490.7354020370003,494.71354756466667,494.730153425,502.7299789180006,502.7133137410001,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_iso.wav,5,0,5,0,0,5,5,2,,,,,,,,503.72998880566706,503.73227082999983,507.71292639766693,507.7298310189999,515.7297820129997,515.7130463290005,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
,5,0,5,0,,,,,,,,,,,,,,,,,,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
audio/exp0/kick_mp2.wav,6,0,6,0,0,0,0,1,,,,,,,,516.7296275676665,516.7356683150001,520.7129343066665,520.7296144370002,528.7293036130004,528.7126499309998,,,amy,001,2023-03-01_13h43.30.272,untitled,2022.2.5,None,
