stimuli_name,Repeat_experiment.thisRepN,Repeat_experiment.thisTrialN,Repeat_experiment.thisN,Repeat_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Repeat_Train.thisRepN,Repeat_Train.thisTrialN,Repeat_Train.thisN,Repeat_Train.thisIndex,Introduction.started,listen_instr.started,key_continue.started,Introduction.stopped,key_continue.keys,key_continue.rt,cross.started,Put_hands.started,Listening_Tap_Instruction_3.started,cue.started,cross_listen.started,beat1.started,cue.stopped,cross_listen.stopped,text_3.started,text_3.stopped,cue_tap_imagine.started,cross_imagine.started,text.started,cue_tap_imagine.stopped,cross_imagine.stopped,text.stopped,text_4.started,text_4.stopped,cue_imagine.started,cross_imagine_2.started,text_2.started,cue_imagine.stopped,cross_imagine_2.stopped,text_2.stopped,Instruction_next_trial.started,Instruction_next_trial.stopped,Listening_Tap_Instruction_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,1,0,1,0,0,0,0,2,0,0,0,0,,,,,,,,,374.5065087910043,376.50955262466255,376.5057150409557,381.30898316664775,381.3025224999874,391.30097699997714,,,,,,,,,,,,,,,,,,,376.5057150409557,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,1,0,1,0,0,0,0,2,1,0,1,0,,,,,,,,,,391.30775004165866,391.30097699997714,396.1017302916773,396.10163420799654,406.09667912498116,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,1,0,1,0,0,0,0,2,2,0,2,0,,,,,,,,,,406.10175633267886,406.09667912498116,410.89075570763475,410.89060187496943,420.9017833750113,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,1,0,1,0,0,0,0,2,3,0,3,0,,,,,,,,,,420.900740541638,420.9017833750113,425.6843022496362,425.6900394159602,,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_iso.wav,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,435.70011833298486,436.6952170410077,436.70062324963897,436.6952170410077,436.6952170410077,441.48976779100485,451.48940645798575,451.48940645798575,451.48940645798575,452.4992643329897,452.51593099965635,452.51628758298466,452.51628758298466,,,,467.3046449999674,470.29898645798676,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,0,0,0,0,,,,,,,,,470.29898645798676,472.29899045767183,472.30234054097673,477.09886533266786,477.08816141600255,487.1100543329958,,,,,,,,,,,,,,,,,,,472.30234054097673,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,1,0,1,0,,,,,,,,,,487.1216670833023,487.1100543329958,491.89921174967117,491.91506849997677,,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,2,0,2,0,,,,,,,,,,501.9144136246216,501.91507937497227,506.6976055416783,506.70394520799164,,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,3,0,3,0,,,,,,,,,,516.7366477912951,516.7268012079876,521.5040046246761,,,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,531.5212267909665,532.5227557909675,532.530189541638,532.5227557909675,532.5227557909675,537.3201419159886,547.3195317909704,547.3195317909704,547.3195317909704,548.3241979159648,548.3298387076395,548.3241979159648,548.3241979159648,553.1200902079581,563.1179783329717,563.1179783329717,563.1179783329717,566.1119160410017,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,1,0,1,0,0,2,2,0,0,0,0,0,,,,,,,,,566.1119160410017,568.1295385826418,568.1291623750003,572.9176468746775,,582.9284660409903,,,,,,,,,,,,,,,,,,,568.1128719159751,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,1,0,1,0,0,2,2,0,1,0,1,0,,,,,,,,,,582.9284689576637,582.9284660409903,587.7163318326386,587.7170353329857,597.7260454159696,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,1,0,1,0,0,2,2,0,2,0,2,0,,,,,,,,,,597.727468082627,597.7260454159696,602.510775124658,602.5171909579658,612.5247320409981,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,1,0,1,0,0,2,2,0,3,0,3,0,,,,,,,,,,612.5272121666387,612.5247320409981,617.3158003746687,617.3166742079775,627.3167983749881,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,627.3167983749881,628.3185662910109,628.3264480416585,628.3185662910109,628.3185662910109,633.1162392079714,643.1155875409604,643.1155875409604,643.1155875409604,644.1089149999898,644.1149244996525,644.1089149999898,644.1089149999898,,658.8972119999817,658.8972119999817,658.9090296659851,661.909741374955,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,2,0,2,0,0,0,0,1,0,0,0,0,,,,,,,,,661.9250400000019,663.9250115826765,663.9240239159553,668.715409749657,668.7142371659866,678.7246640409576,,,,,,,,,,,,,,,,,,,663.9240239159553,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,2,0,2,0,0,0,0,1,1,0,1,0,,,,,,,,,,678.7245038326403,678.7246640409576,683.5080811246337,683.5133306249627,693.5194590410101,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,2,0,2,0,0,0,0,1,2,0,2,0,,,,,,,,,,693.5238221666698,693.5194590410101,698.3071503326685,698.3128363749711,708.3170720409835,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,2,0,2,0,0,0,0,1,3,0,3,0,,,,,,,,,,708.3230915416536,708.3170720409835,713.1071391246553,713.112215082976,723.1127443329897,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp2.wav,2,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,723.1127443329897,724.1149767909665,724.1231782916623,724.1149767909665,724.1149767909665,,738.9109406250063,738.9109406250063,738.9109406250063,739.9044963750057,739.9110987916395,739.9044963750057,739.9044963750057,744.7051096659852,754.6934218329843,754.6934218329843,754.7051588749746,757.6938400409999,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,2,0,2,0,0,1,1,0,0,0,0,0,,,,,,,,,757.7050352909719,759.7191414576412,759.7072390409885,764.5103504166511,,774.5037683749688,,,,,,,,,,,,,,,,,,,759.7024747909745,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,2,0,2,0,0,1,1,0,1,0,1,0,,,,,,,,,,774.5096342496729,774.5037683749688,779.2931017076519,779.3035844999831,789.2994520409848,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,2,0,2,0,0,1,1,0,2,0,2,0,,,,,,,,,,789.3036887076489,789.2994520409848,794.0910371246321,794.0935209579766,804.0980254579918,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
audio/exp1/snare_mp1.wav,2,0,2,0,0,1,1,0,3,0,3,0,,,,,,,,,,804.1029355826361,804.0980254579918,808.8914383746489,808.8928021249594,818.8928784579621,,,,,,,,,,,,,,,,,,,,abhinav,002,2023-03-17_14h13.49.642,untitled,2022.2.5,59.67542559117324,
